;user_id;questions_135556_what_is_your_gender;questions_135557_how_old_are_you;LSM_group1;questions_135613_who_do_you_share_your_home_with;questions_224112_149402_210209_including_yourself_how_many_people_do_you_share_your_home_with;questions_134340_what_do_you_do_to_try_to_stay_healthy_tick_all_that_apply;questions_134341_what_drives_you_to_have_a_healthy_lifestyle_you_may_select_up_to_3;questions_134342_do_you_try_to_eat_or_drink_in_any_of_the_following_ways;questions_134344_which_of_the_following_steps_if_any_are_you_taking_to_eat_drink_more_healthily;questions_134347_how_regularly_do_you_exercise_you_can_be_honest_it_s_just_between_us;questions_134348_which_types_of_exercise_do_you_enjoy_doing_tick_all_that_apply;questions_134356_do_you_do_any_of_the_following_to_help_you_sleep_tick_all_that_apply;questions_134357_and_do_you_try_to_avoid_certain_things_in_the_hour_before_you_go_to_sleep_tick_all_that_apply
1504;3338656758;Female;18-24;High;"[""Partner / spouse""]";2;"[""Exercise regularly"", ""Take vitamin / other supplements"", ""Eat healthily""]";"[""To live longer"", ""Feeling good about myself"", ""To improve brain function/ memory""]";"[""None of the above""]";"[""Cooking more meals at home"", ""Eating out / ordering takeout less frequently""]";Less often;;"[""No, none of these""]";"[""No, none of these""]"
1505;5171979218;Male;35-44;Medium;"[""Partner / spouse""]";4;"[""Eat healthily"", ""Exercise regularly"", ""Stress control methods""]";"[""To make the most out of/enjoy life"", ""To lose / manage my weight"", ""To make the most of treats / indulgent moments""]";"[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]";"[""Cooking more meals at home"", ""Counting / tracking calories"", ""Watching the size of my portions""]";Twice a week;"[""Running"", ""Spinning"", ""Walking""]";"[""Take sleeping tablets"", ""Take herbal supplements"", ""Have a bath""]";"[""Alcohol"", ""Caffeine""]"
1506;1308803551;Female;35-44;Medium;"[""Partner / spouse"", ""Children under 18 years old""]";5+;"[""Exercise regularly"", ""Drink lots of water / fluids"", ""Taking time to relax""]";"[""To live longer"", ""To support my family"", ""To make the most out of/enjoy life""]";"[""None of the above""]";"[""Cooking more meals at home"", ""Eating dessert less often""]";Twice a week;"[""Walking"", ""Cycling"", ""Swimming""]";"[""Have a bath""]";"[""No, none of these""]"
1510;2.38E+12;Female;35-44;Low;"[""Other family members""]";3;"[""Eat healthily""]";"[""To set a good example for my family""]";"[""None of the above""]";"[""Making an effort to find healthy recipes""]";3+ times a week;"[""Running""]";"[""No, none of these""]";"[""Alcohol"", ""Caffeine""]"
1520;833015622;Female;45+;Medium;"[""Parents""]";4;"[""Taking time to relax"", ""Stay hydrated"", ""Meditation / positive mindset methods""]";"[""To manage a health / medical condition"", ""To improve my sleep"", ""Feeling good about myself""]";"[""Vegetarian: eat no meat or fish""]";"[""Making an effort to find healthy recipes""]";Less often;;"[""No, none of these""]";"[""Browsing on my cell phone / tablet"", ""Checking emails""]"
1521;4199544751;Male;18-24;Medium;"[""Partner / spouse""]";5+;"[""Make sure I get enough sleep""]";"[""To set a good example for my family""]";"[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]";"[""Cooking more meals at home""]";3+ times a week;"[""Strength training""]";"[""No, none of these""]";"[""Heavy meal""]"
1524;3389542400;Female;25-34;Medium;"[""Partner / spouse"", ""Children under 18 years old""]";5+;"[""Stay hydrated"", ""Taking time to relax"", ""Make sure I get enough sleep""]";"[""To improve my sleep"", ""To live longer"", ""To make the most out of/enjoy life""]";"[""None of the above""]";"[""Snacking less often"", ""Cooking more meals at home""]";Less often;;"[""Have warm milk""]";"[""Caffeine"", ""Heavy meal""]"
1535;2285332380;Male;18-24;Medium;"[""Parents""]";3;"[""Make sure I get enough sleep""]";"[""To improve my sleep"", ""Have more energy"", ""Feeling good about myself""]";"[""Vegan: eat no meat, fish, or dairy"", ""Vegetarian: eat no meat or fish"", ""Pescatarian: eat fish, but no meat"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]";"[""Intermittent fasting"", ""Checking nutritional value of the food / drink I purchase"", ""Eating out / ordering takeout less frequently""]";Twice a week;"[""Cycling"", ""Swimming"", ""Weights""]";"[""Have a malted milk drink""]";"[""Heavy meal"", ""Watching TV"", ""Checking emails""]"
1536;1244276256;Female;18-24;Medium;"[""Partner / spouse"", ""Friends / Roommates""]";;"[""Make sure I get enough sleep"", ""Drink lots of water / fluids"", ""Take vitamin / other supplements""]";"[""To lose / manage my weight"", ""Have more energy"", ""Prevent health conditions in later life""]";"[""Low sugar""]";"[""Cooking more meals at home"", ""Watching the size of my portions"", ""Filling half my plate with vegetables""]";Twice a week;"[""Walking"", ""Yoga/Pilates""]";"[""Have a bath"", ""Remove screens from bedrooms e.g. TV, cell phone""]";"[""Alcohol"", ""Checking emails"", ""Browsing on my cell phone / tablet"", ""Watching TV""]"
1537;3630086058;Female;35-44;Low;"[""Partner / spouse"", ""Children under 18 years old""]";5+;"[""Drink lots of water / fluids"", ""Make sure I get enough sleep"", ""Eat healthily"", ""Take vitamin / other supplements""]";"[""Prevent health conditions in later life"", ""To lose / manage my weight"", ""Feeling good about myself""]";"[""Low sugar""]";"[""Filling half my plate with vegetables"", ""Snacking less often""]";Few times a month;"[""Walking""]";"[""No, none of these""]";"[""No, none of these""]"
1549;3689187765;Female;35-44;Medium;"[""Children over 18 years old""]";5+;"[""Drink lots of water / fluids"", ""Eat healthily"", ""Stay hydrated"", ""Meditation / positive mindset methods"", ""Make sure I get enough sleep""]";"[""Feeling good about myself"", ""Have more energy"", ""To make the most out of/enjoy life""]";"[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low sugar"", ""High protein""]";"[""Checking nutritional value of the food / drink I purchase"", ""Cooking more meals at home"", ""Shopping at places that have a wide selection of healthy options""]";Twice a week;"[""Hiking""]";"[""Meditate"", ""Have a bath""]";"[""Caffeine""]"
1550;547190424;Male;18-24;Medium;"[""Parents""]";5+;"[""Drink lots of water / fluids"", ""Meditation / positive mindset methods"", ""Eat healthily"", ""Taking time to relax""]";"[""To lose / manage my weight"", ""To make the most of treats / indulgent moments"", ""To live longer""]";"[""Vegan: eat no meat, fish, or dairy"", ""Dairy free"", ""Vegetarian: eat no meat or fish""]";"[""Cooking more meals at home"", ""Checking nutritional value of the food / drink I purchase""]";Few times a month;"[""Walking"", ""Cycling""]";"[""Meditate""]";"[""Checking emails"", ""Browsing on my cell phone / tablet"", ""Watching TV""]"
1553;642194670;Male;35-44;High;"[""Partner / spouse"", ""Children under 18 years old""]";4;"[""Eat healthily"", ""Take vitamin / other supplements"", ""Exercise regularly"", ""Drink lots of water / fluids""]";"[""Feeling good about myself"", ""To lose / manage my weight"", ""To manage a health / medical condition""]";"[""Flexitarian: eat meat but control the amount eaten"", ""Low sugar"", ""Low calorie"", ""Low salt"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]";"[""Eating out / ordering takeout less frequently"", ""Eating dessert less often"", ""Shopping at places that have a wide selection of healthy options"", ""Watching the size of my portions"", ""Snacking less often""]";Twice a week;"[""Running""]";"[""No, none of these""]";"[""Browsing on my cell phone / tablet"", ""Alcohol"", ""Caffeine"", ""Heavy meal""]"
1556;26483358000;Male;25-34;Low;"[""Children under 18 years old""]";2;"[""Other""]";"[""To make the most out of/enjoy life""]";"[""None of the above"", ""None of the above""]";"[""Doing a cleanse""]";Less often;;"[""Other""]";"[""Other""]"
1560;3326101641;Female;25-34;Medium;"[""Parents""]";3;"[""Taking time to relax"", ""Eat healthily"", ""Meditation / positive mindset methods"", ""Take vitamin / other supplements""]";"[""To set a good example for my family"", ""Have more energy"", ""Specific event (e.g. holiday, wedding)""]";"[""Vegetarian: eat no meat or fish""]";"[""Eating out / ordering takeout less frequently"", ""Watching the size of my portions"", ""Doing a cleanse""]";Twice a week;"[""Cardio / Aerobics / Water aerobics""]";"[""Have a bath""]";"[""Alcohol"", ""Heavy meal""]"
1561;1124667748;Male;18-24;High;"[""Friends / Roommates""]";3;"[""Exercise regularly"", ""Drink lots of water / fluids"", ""Taking time to relax"", ""Stay hydrated"", ""Eat healthily"", ""Stress control methods""]";"[""To set a good example for my family"", ""Feeling good about myself"", ""To live longer""]";"[""Vegetarian: eat no meat or fish"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low calorie""]";"[""Eating dessert less often"", ""Eating out / ordering takeout less frequently""]";Twice a week;"[""Running"", ""Aerobics"", ""Cardio / Aerobics / Water aerobics""]";"[""No, none of these""]";"[""Heavy meal"", ""Browsing on my cell phone / tablet"", ""Caffeine"", ""Watching TV"", ""Alcohol""]"
1564;5304539472;Female;25-34;High;"[""I live alone""]";1;"[""Take vitamin / other supplements"", ""Eat healthily"", ""Taking time to relax"", ""Stress control methods""]";"[""Feeling good about myself"", ""Prevent health conditions in later life"", ""To lose / manage my weight""]";"[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Paleo"", ""Organic""]";"[""Filling half my plate with vegetables"", ""Cooking more meals at home"", ""Eating out / ordering takeout less frequently"", ""Checking / reading the ingredients in food / drink products""]";Less often;;"[""Have a bath""]";"[""Heavy meal""]"
1566;5348753760;Female;45+;Medium;"[""Other family members""]";4;"[""Make sure I get enough sleep"", ""Taking time to relax"", ""Eat healthily"", ""Drink lots of water / fluids"", ""Exercise regularly""]";"[""Prevent health conditions in later life"", ""To lose / manage my weight"", ""Have more energy""]";"[""Low salt"", ""Low sugar""]";"[""Cooking more meals at home""]";3+ times a week;"[""Hiking"", ""Cycling"", ""Walking""]";"[""Have a bath""]";"[""Alcohol"", ""Heavy meal""]"
1572;5256298376;Female;35-44;High;"[""Partner / spouse""]";5+;"[""Stress control methods"", ""Taking time to relax""]";"[""Prevent health conditions in later life"", ""To support my family"", ""Feeling good about myself""]";"[""Low sugar""]";"[""Cooking more meals at home"", ""Eating dessert less often""]";Less often;;"[""No, none of these""]";"[""Heavy meal""]"
1576;1022039856;Male;35-44;Medium;"[""Partner / spouse"", ""Friends / Roommates""]";3;"[""Meditation / positive mindset methods"", ""Drink lots of water / fluids"", ""Make sure I get enough sleep"", ""Stay hydrated"", ""Taking time to relax"", ""Eat healthily""]";"[""To improve my sleep"", ""To improve brain function/ memory"", ""Prevent health conditions in later life""]";"[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Dairy free""]";"[""Intermittent fasting"", ""Snacking less often""]";Never;;"[""No, none of these""]";"[""No, none of these""]"
1579;8344518780;Female;45+;Medium;"[""Partner / spouse"", ""Children over 18 years old""]";3;"[""Eat healthily"", ""Drink lots of water / fluids""]";"[""To lose / manage my weight"", ""To set a good example for my family"", ""To manage a health / medical condition""]";"[""None of the above""]";"[""Filling half my plate with vegetables"", ""Counting / tracking calories""]";Less often;;"[""No, none of these""]";"[""No, none of these""]"
1585;4199527832;Male;25-34;Low;"[""Partner / spouse""]";2;"[""Stay hydrated"", ""Exercise regularly"", ""Taking time to relax"", ""Make sure I get enough sleep"", ""Stress control methods"", ""Meditation / positive mindset methods""]";"[""Feeling good about myself"", ""Prevent health conditions in later life"", ""Have more energy""]";"[""None of the above""]";"[""Snacking less often""]";Few times a month;"[""Running"", ""Other""]";"[""No, none of these""]";"[""No, none of these""]"
1587;556524808;Male;45+;High;"[""Partner / spouse""]";2;"[""Eat healthily"", ""Take vitamin / other supplements"", ""Stay hydrated"", ""Make sure I get enough sleep""]";"[""To improve my sleep"", ""To make the most of treats / indulgent moments"", ""To make the most out of/enjoy life""]";"[""Vegetarian: eat no meat or fish""]";"[""None of the above""]";Never;;"[""No, none of these""]";"[""Browsing on my mobile  phone / tablet"", ""Caffeine""]"
1601;1431058410;Male;35-44;High;"[""Partner / spouse""]";2;"[""Taking time to relax"", ""Eat healthily""]";"[""To lose / manage my weight"", ""To improve brain function/ memory"", ""Feeling good about myself""]";"[""Low calorie"", ""Low sugar"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]";"[""Cooking more meals at home"", ""Watching the size of my portions"", ""Shopping at places that have a wide selection of healthy options""]";Twice a week;"[""Cardio / Aerobics / Water aerobics""]";"[""No, none of these""]";"[""Heavy meal""]"
1604;869622858;Female;46-55;Medium;"[""Partner / spouse""]";;"[""Meditation / positive mindset methods"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Eat healthily"", ""Make sure I get enough sleep"", ""Stress control methods"", ""Taking time to relax"", ""Drink lots of water/fluids""]";"[""To set a good example for my family"", ""To manage a health / medical condition"", ""To live longer""]";"[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]";"[""Doing a cleanse""]";3+ times a week;"[""Walking""]";"[""No, none of these""]";"[""No, none of these""]"
1607;6179680591;Female;25-34;Medium;"[""Parents""]";3;"[""Drink lots of water / fluids"", ""Eat healthily""]";"[""To make the most out of/enjoy life"", ""To improve brain function/ memory"", ""To lose / manage my weight""]";"[""Low sugar""]";"[""Checking / reading the ingredients in food / drink products""]";Few times a month;"[""Aerobics"", ""Walking""]";"[""Have a bath""]";"[""Checking emails""]"
1609;7400266546;Female;45+;Medium;"[""Other family members""]";5+;"[""Drink lots of water / fluids"", ""Make sure I get enough sleep"", ""Eat healthily""]";"[""To manage a health / medical condition"", ""To improve my sleep"", ""To improve brain function/ memory""]";"[""Pescatarian: eat fish, but no meat"", ""Flexitarian: eat meat but control the amount eaten"", ""Halal"", ""Dairy free""]";"[""Checking / reading the ingredients in food / drink products"", ""Checking nutritional value of the food / drink I purchase"", ""Doing a cleanse"", ""Eating out at places that have healthy options available"", ""Filling half my plate with vegetables""]";Less often;;"[""No, none of these""]";"[""No, none of these""]"
1612;5553510144;Male;25-34;High;"[""Parents""]";5+;"[""Meditation / positive mindset methods"", ""Eat healthily"", ""Exercise regularly""]";"[""To make the most out of/enjoy life"", ""Prevent health conditions in later life""]";"[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""High protein"", ""Low sugar"", ""Low calorie""]";"[""Eating out at places that have healthy options available"", ""Shopping at places that have a wide selection of healthy options"", ""Eating out / ordering takeout less frequently""]";Twice a week;"[""Weights"", ""Swimming"", ""Cardio / Aerobics / Water aerobics""]";"[""No, none of these""]";"[""No, none of these""]"
1614;5894571090;Female;18-24;Medium;"[""Parents""]";2;"[""Make sure I get enough sleep"", ""Taking time to relax"", ""Stress control methods""]";"[""Have more energy"", ""To manage a health / medical condition"", ""To improve my sleep""]";"[""Low salt""]";"[""Watching the size of my portions"", ""Eating out / ordering takeout less frequently"", ""Snacking less often""]";Never;;"[""No, none of these""]";"[""No, none of these""]"
1615;7928341096;Male;45+;High;"[""Partner / spouse"", ""Children under 18 years old""]";3;"[""Take vitamin / other supplements"", ""Eat healthily"", ""Drink lots of water / fluids""]";"[""To support my family"", ""Prevent health conditions in later life"", ""To lose / manage my weight""]";"[""None of the above""]";"[""Watching the size of my portions"", ""Filling half my plate with vegetables"", ""Eating dessert less often""]";Less often;;"[""No, none of these""]";"[""Caffeine"", ""Heavy meal""]"
1617;4010614472;Male;45+;Medium;"[""Partner / spouse""]";2;"[""Taking time to relax""]";"[""To manage a health / medical condition"", ""To improve brain function/ memory"", ""To lose / manage my weight""]";"[""Low sugar"", ""Low cholesterol"", ""Low salt""]";"[""Watching the size of my portions"", ""Snacking less often"", ""Checking / reading the ingredients in food / drink products""]";Twice a week;"[""Hiking""]";"[""Other""]";"[""Heavy meal""]"
1623;2676425900;Male;45+;Medium;"[""Partner / spouse""]";;"[""Take vitamin / other supplements"", ""Exercise regularly"", ""Eat healthily"", ""Drink lots of water / fluids"", ""Taking time to relax"", ""Make sure I get enough sleep""]";"[""Prevent health conditions in later life"", ""Have more energy"", ""To make the most out of / enjoy life""]";"[""Low salt"", ""Low sugar"", ""Low cholesterol""]";"[""Making an effort to find healthy recipes"", ""Eating out / ordering takeout less frequently"", ""Shopping at places that have a wide selection of healthy options"", ""Cooking more meals at home"", ""Eating out at places that have healthy options available""]";3+ times a week;"[""Cycling"", ""Hiking"", ""Running"", ""Swimming"", ""Walking""]";"[""No, none of these""]";"[""Caffeine"", ""Alcohol"", ""Heavy meal""]"
1624;4996938094;Male;18-24;Low;"[""Parents""]";4;"[""Take vitamin / other supplements"", ""Stress control methods"", ""Drink lots of water / fluids"", ""Taking time to relax"", ""Eat healthily"", ""Stay hydrated""]";"[""To improve brain function/ memory"", ""Prevent health conditions in later life"", ""To manage a health / medical condition""]";"[""Flexitarian: eat meat but control the amount eaten"", ""Halal""]";"[""Intermittent fasting""]";Less often;;"[""No, none of these""]";"[""Heavy meal""]"
1625;695750310;Female;45+;Low;;;"[""Drink lots of water / fluids"", ""Exercise regularly"", ""Make sure I get enough sleep"", ""Eat healthily"", ""Take vitamin / other supplements""]";"[""To live longer"", ""Prevent health conditions in later life"", ""Feeling good about myself""]";"[""Low salt"", ""Low sugar"", ""Low / zero carb"", ""Low calorie"", ""High protein""]";"[""Counting / tracking calories"", ""Snacking less often"", ""Watching the size of my portions"", ""Cooking more meals at home"", ""Eating out at places that have healthy options available"", ""Filling half my plate with vegetables""]";3+ times a week;"[""Aerobics"", ""Walking"", ""Cardio / Aerobics / Water aerobics"", ""Yoga/Pilates""]";"[""Take sleeping tablets""]";"[""Caffeine""]"
1627;27515921160;Female;35-44;Low;"[""Partner / spouse""]";3;"[""Eat healthily""]";"[""Other""]";"[""None of the above"", ""None of the above""]";"[""Making an effort to find healthy recipes""]";3+ times a week;"[""Strength training""]";;"[""Watching TV""]"
1629;25259617068;Female;25-34;Low;"[""Partner / spouse"", ""Children under 18 years old""]";3;"[""Eat healthily""]";"[""To make the most out of/enjoy life"", ""To set a good example for my family""]";"[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]";"[""Making an effort to find healthy recipes""]";Never;;;"[""Checking emails"", ""Browsing on my cell phone / tablet"", ""Alcohol"", ""Caffeine"", ""Watching TV""]"
1633;194466;Female;45+;Medium;"[""Partner / spouse"", ""Children under 18 years old"", ""Children over 18 years old""]";4;"[""Eat healthily"", ""Drink lots of water / fluids""]";"[""Feeling good about myself"", ""Have more energy""]";"[""None of the above""]";"[""Cooking more meals at home"", ""Watching the size of my portions""]";Less often;;"[""No, none of these""]";"[""No, none of these""]"
1637;727384805;Male;18-24;Low;"[""Parents""]";5+;"[""Drink lots of water / fluids""]";"[""To lose / manage my weight""]";"[""Vegan: eat no meat, fish, or dairy"", ""Vegetarian: eat no meat or fish""]";"[""None of the above""]";3+ times a week;"[""Cycling""]";"[""Have a bath""]";"[""Watching TV""]"
1638;3790103362;Female;45+;Medium;"[""Children under 18 years old""]";2;"[""Nothing""]";"[""To manage a health / medical condition"", ""To lose / manage my weight"", ""Prevent health conditions in later life""]";"[""Low calorie"", ""Low sugar""]";"[""Making an effort to find healthy recipes""]";Less often;;"[""Meditate""]";"[""No, none of these""]"
1640;642098621;Female;25-34;Medium;"[""Partner / spouse"", ""Children under 18 years old""]";4;"[""Eat healthily""]";"[""I feel pressured because everyone else is doing it"", ""Feeling good about myself"", ""To make the most out of/enjoy life""]";"[""Low sugar"", ""High protein""]";"[""Doing a cleanse"", ""Watching the size of my portions"", ""Counting / tracking calories""]";Twice a week;"[""Yoga/Pilates"", ""Circuit training/ HIIT""]";"[""Have a bath"", ""Have warm milk""]";"[""No, none of these""]"
1642;1508428284;Male;18-24;High;"[""Parents""]";3;"[""Stress control methods"", ""Taking time to relax"", ""Exercise regularly"", ""Eat healthily"", ""Make sure I get enough sleep""]";"[""Feeling good about myself"", ""To improve brain function/ memory"", ""To live longer""]";"[""High protein""]";"[""Eating out / ordering takeout less frequently"", ""Eating dessert less often""]";Twice a week;"[""Weights"", ""Strength training""]";"[""No, none of these""]";"[""No, none of these""]"
1644;7431519264;Female;18-24;Medium;"[""Partner / spouse"", ""Children under 18 years old""]";3;"[""Make sure I get enough sleep""]";"[""To make the most out of/enjoy life"", ""To improve my sleep"", ""To support my family""]";"[""Halal""]";"[""Cooking more meals at home"", ""Checking / reading the ingredients in food / drink products"", ""Snacking less often""]";Never;;"[""Have herbal tea"", ""Take sleeping tablets""]";"[""Caffeine"", ""Heavy meal""]"
1647;8387592914;Male;45+;Medium;"[""I live alone""]";1;"[""Make sure I get enough sleep"", ""Drink lots of water / fluids"", ""Stay hydrated"", ""Meditation / positive mindset methods""]";"[""To make the most out of/enjoy life"", ""To improve my sleep"", ""To lose / manage my weight""]";"[""Flexitarian: eat meat but control the amount eaten""]";"[""Checking nutritional value of the food / drink I purchase"", ""Counting / tracking calories"", ""Eating out / ordering takeout less frequently""]";Twice a week;"[""Walking"", ""Yoga/Pilates""]";"[""No, none of these""]";"[""Watching TV"", ""Caffeine"", ""Alcohol"", ""Heavy meal""]"
1652;809152266;Male;25-34;Low;"[""Other family members""]";5+;"[""Make sure I get enough sleep"", ""Taking time to relax"", ""Stay hydrated"", ""Take vitamin / other supplements"", ""Stress control methods""]";"[""To manage a health / medical condition"", ""Have more energy"", ""To improve brain function/ memory""]";"[""Flexitarian: eat meat but control the amount eaten"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]";"[""Checking / reading the ingredients in food / drink products"", ""Making an effort to find healthy recipes"", ""Intermittent fasting""]";3+ times a week;"[""Cycling"", ""Hiking"", ""Running""]";"[""No, none of these""]";"[""Heavy meal"", ""Caffeine""]"
1655;1258000284;Female;45+;High;"[""Partner / spouse"", ""Children under 18 years old"", ""Children over 18 years old""]";4;"[""Exercise regularly"", ""Eat healthily""]";"[""To make the most out of/enjoy life"", ""Feeling good about myself"", ""To make the most of treats / indulgent moments""]";"[""Low sugar"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]";"[""Eating dessert less often"", ""Filling half my plate with vegetables"", ""Watching the size of my portions""]";3+ times a week;"[""Weights"", ""Yoga/Pilates"", ""Spinning""]";"[""No, none of these""]";"[""Caffeine""]"
1657;2701590050;Female;45+;High;"[""Parents""]";3;"[""Stay hydrated"", ""Stress control methods"", ""Eat healthily"", ""Exercise regularly""]";"[""Feeling good about myself"", ""To live longer"", ""Have more energy""]";"[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]";"[""Eating dessert less often"", ""Watching the size of my portions"", ""Making an effort to find healthy recipes""]";Twice a week;"[""Yoga/Pilates"", ""Walking""]";"[""Have herbal tea""]";"[""Alcohol"", ""Heavy meal""]"
1658;2.33E+12;Male;35-44;High;"[""Partner / spouse""]";5+;"[""Exercise regularly"", ""Eat healthily""]";"[""Have more energy"", ""To manage a health / medical condition""]";"[""None of the above""]";"[""Making an effort to find healthy recipes""]";3+ times a week;"[""Other""]";"[""Have warm milk""]";"[""Alcohol"", ""Heavy meal"", ""Caffeine""]"
1663;3990149632;Female;35-44;Medium;"[""Partner / spouse"", ""Children under 18 years old"", ""Children over 18 years old""]";5+;"[""Take vitamin / other supplements"", ""Drink lots of water / fluids"", ""Taking time to relax"", ""Stress control methods"", ""Exercise regularly"", ""Eat healthily""]";"[""To make the most out of/enjoy life"", ""To set a good example for my family"", ""To lose / manage my weight""]";"[""High protein"", ""Low sugar"", ""Organic""]";"[""Shopping at places that have a wide selection of healthy options"", ""Doing a cleanse"", ""Checking nutritional value of the food / drink I purchase""]";Twice a week;"[""Cycling""]";"[""Have a bath""]";"[""Heavy meal"", ""Caffeine"", ""Watching TV"", ""Checking emails"", ""Alcohol""]"
1668;4895371006;Male;18-24;Low;"[""Parents""]";4;"[""Taking time to relax"", ""Meditation / positive mindset methods""]";"[""Feeling good about myself""]";"[""Halal""]";"[""Intermittent fasting"", ""Snacking less often""]";Few times a month;"[""Other""]";"[""No, none of these""]";"[""No, none of these""]"
1672;109120;Female;45+;High;"[""Partner / spouse"", ""Children under 18 years old"", ""Parents""]";4;"[""Make sure I get enough sleep"", ""Taking time to relax"", ""Eat healthily""]";"[""To make the most out of/enjoy life"", ""To improve my sleep"", ""Have more energy""]";"[""Low salt"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]";"[""Eating out at places that have healthy options available"", ""Checking / reading the ingredients in food / drink products"", ""Checking nutritional value of the food / drink I purchase""]";Twice a week;"[""Walking""]";"[""No, none of these""]";"[""Heavy meal""]"
1673;4683002952;Female;18-24;High;"[""Other family members""]";5+;"[""Drink lots of water / fluids"", ""Taking time to relax"", ""Make sure I get enough sleep"", ""Stay hydrated""]";"[""Feeling good about myself"", ""To improve brain function/ memory"", ""To make the most of treats / indulgent moments""]";"[""Halal"", ""Low cholesterol""]";"[""Watching the size of my portions"", ""Checking nutritional value of the food / drink I purchase"", ""Checking / reading the ingredients in food / drink products""]";Twice a week;"[""Swimming"", ""Other""]";"[""Remove screens from bedrooms e.g. TV, cell phone""]";"[""Caffeine"", ""Alcohol""]"
1687;5247795356;Male;35-44;High;"[""I live alone""]";1;"[""Make sure I get enough sleep"", ""Taking time to relax"", ""Eat healthily"", ""Exercise regularly"", ""Drink lots of water / fluids""]";"[""To improve my sleep"", ""Feeling good about myself"", ""To lose / manage my weight""]";"[""None of the above""]";"[""Cooking more meals at home"", ""Counting / tracking calories"", ""Eating dessert less often""]";3+ times a week;"[""Cycling"", ""Strength training"", ""Swimming""]";"[""No, none of these""]";"[""No, none of these""]"
1688;377764560;Female;25-34;Low;"[""Partner / spouse"", ""Children under 18 years old""]";4;"[""Nothing""]";"[""To lose / manage my weight""]";"[""Halal""]";"[""Checking nutritional value of the food / drink I purchase""]";Never;;"[""Have a malted milk drink""]";"[""Browsing on my cell phone / tablet""]"
1690;6599467413;Female;35-44;Medium;"[""Children under 18 years old""]";2;"[""Stress control methods"", ""Stay hydrated"", ""Eat healthily"", ""Make sure I get enough sleep""]";"[""Feeling good about myself"", ""To support my family"", ""Specific event (e.g. holiday, wedding)""]";"[""None of the above""]";"[""Eating out / ordering takeout less frequently"", ""Snacking less often"", ""Cooking more meals at home"", ""Making an effort to find healthy recipes"", ""Counting / tracking calories""]";Never;;"[""Have a bath""]";"[""No, none of these""]"
1693;1107693720;Female;45+;Medium;"[""Children under 18 years old"", ""Children over 18 years old""]";4;"[""Taking time to relax"", ""Exercise regularly"", ""Drink lots of water / fluids"", ""Make sure I get enough sleep""]";"[""To improve brain function/ memory"", ""To make the most out of/enjoy life"", ""To set a good example for my family""]";"[""Low salt"", ""Low calorie"", ""Low sugar"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low / zero carb"", ""Low cholesterol""]";"[""Shopping at places that have a wide selection of healthy options"", ""Filling half my plate with vegetables"", ""Cooking more meals at home"", ""Checking nutritional value of the food / drink I purchase""]";Twice a week;"[""Running"", ""Walking"", ""Aerobics"", ""Swimming"", ""Hiking""]";"[""Have a bath"", ""Have herbal tea""]";"[""Browsing on my cell phone / tablet"", ""Heavy meal"", ""Alcohol""]"
1696;540370600;Male;18-24;High;"[""Parents"", ""Other family members""]";4;"[""Taking time to relax"", ""Exercise regularly""]";"[""To improve brain function/ memory"", ""Have more energy"", ""To lose / manage my weight""]";"[""None of the above""]";"[""None of the above""]";3+ times a week;"[""Cycling"", ""Other""]";"[""No, none of these""]";"[""No, none of these""]"
1697;5171843145;Female;35-44;Medium;"[""Partner / spouse""]";2;"[""Make sure I get enough sleep""]";"[""Prevent health conditions in later life"", ""Feeling good about myself"", ""To lose / manage my weight""]";"[""None of the above""]";"[""Cooking more meals at home""]";Once a week;"[""Walking""]";"[""No, none of these""]";"[""Heavy meal""]"
