,user_id,questions_135556_what_is_your_gender,questions_135557_how_old_are_you,LSM_group1,questions_135613_who_do_you_share_your_home_with,questions_224112_149402_210209_including_yourself_how_many_people_do_you_share_your_home_with,questions_134340_what_do_you_do_to_try_to_stay_healthy_tick_all_that_apply,questions_134341_what_drives_you_to_have_a_healthy_lifestyle_you_may_select_up_to_3,questions_134342_do_you_try_to_eat_or_drink_in_any_of_the_following_ways,questions_134344_which_of_the_following_steps_if_any_are_you_taking_to_eat_drink_more_healthily,questions_134347_how_regularly_do_you_exercise_you_can_be_honest_it_s_just_between_us,questions_134348_which_types_of_exercise_do_you_enjoy_doing_tick_all_that_apply,questions_134356_do_you_do_any_of_the_following_to_help_you_sleep_tick_all_that_apply,questions_134357_and_do_you_try_to_avoid_certain_things_in_the_hour_before_you_go_to_sleep_tick_all_that_apply
1023,6497408595.0,Female,35-44,Medium,"[""Partner / spouse""]",4,"[""Eat healthily"", ""Taking time to relax"", ""Exercise regularly"", ""Make sure I get enough sleep""]","[""Feeling good about myself"", ""Have more energy""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Snacking less often"", ""Watching the size of my portions"", ""Filling half my plate with vegetables""]",Few times a month,"[""Cycling""]","[""Have warm milk""]","[""Browsing on my cell phone / tablet"", ""Alcohol"", ""Watching TV""]"
1026,2674649817.0,Male,25-34,High,"[""Other family members"", ""Parents""]",5+,"[""Eat healthily"", ""Taking time to relax"", ""Drink lots of water / fluids"", ""Take vitamin / other supplements""]","[""Feeling good about myself"", ""To improve brain function/ memory"", ""Prevent health conditions in later life""]","[""Pescatarian: eat no meat"", ""Low salt"", ""Low calorie"", ""Low cholesterol"", ""Vegetarian: eat no meat or fish"", ""High protein"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low sugar""]","[""Checking / reading the ingredients in food / drink products"", ""Checking nutritional value of the food / drink I purchase"", ""Doing a cleanse"", ""Shopping at places that have a wide selection of healthy options"", ""Cooking more meals at home"", ""Eating dessert less often"", ""Filling half my plate with vegetables""]",3+ times a week,"[""Running"", ""Walking"", ""Cycling""]","[""Take herbal supplements"", ""Have a bath"", ""Have herbal tea"", ""Meditate""]","[""Browsing on my cell phone / tablet"", ""Watching TV""]"
1028,674692872.0,Male,45+,High,"[""Children under 18 years old"", ""Partner / spouse""]",4,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Eat healthily"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""Feeling good about myself"", ""To make the most out of/enjoy life"", ""Prevent health conditions in later life""]","[""Low sugar"", ""Low salt""]","[""Checking nutritional value of the food / drink I purchase"", ""Watching the size of my portions"", ""Checking / reading the ingredients in food / drink products"", ""Counting / tracking calories""]",Once a week,"[""Hiking"", ""Walking"", ""Cycling""]","[""Have a malted milk drink"", ""Remove screens from bedrooms e.g. TV, cell phone""]","[""Caffeine"", ""Alcohol"", ""Checking emails""]"
1030,2735248304.0,Female,45+,Low,"[""Children under 18 years old"", ""Children over 18 years old"", ""Partner / spouse""]",5+,"[""Eat healthily"", ""Exercise regularly"", ""Stay hydrated""]","[""To improve brain function/ memory"", ""To improve my sleep"", ""Prevent health conditions in later life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Snacking less often""]",Never,,"[""No, none of these""]","[""No, none of these""]"
1031,4085470704.0,Male,45+,High,"[""Partner / spouse""]",2,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Take vitamin / other supplements"", ""Stress control methods"", ""Eat healthily"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""To make the most out of/enjoy life"", ""To manage a health / medical condition"", ""Prevent health conditions in later life""]","[""Flexitarian: eat meat but control the amount eaten"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low salt"", ""Low sugar""]","[""Making an effort to find healthy recipes"", ""Checking / reading the ingredients in food / drink products"", ""Checking nutritional value of the food / drink I purchase"", ""Watching the size of my portions"", ""Shopping at places that have a wide selection of healthy options"", ""Cooking more meals at home"", ""Eating dessert less often"", ""Filling half my plate with vegetables""]",Once a week,"[""Hiking"", ""Swimming"", ""Walking"", ""Cycling""]","[""Have herbal tea"", ""Remove screens from bedrooms e.g. TV, cell phone"", ""Take herbal supplements"", ""Take sleeping tablets"", ""Have warm milk""]","[""Caffeine"", ""Heavy meal""]"
1033,1082725050.0,Male,25-34,High,"[""Parents""]",5+,"[""Make sure I get enough sleep"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Drink lots of water / fluids""]","[""To lose / manage my weight"", ""To manage a health / medical condition"", ""Prevent health conditions in later life""]","[""Low salt"", ""Halal"", ""High protein"", ""Gluten / wheat free"", ""Low sugar""]","[""Making an effort to find healthy recipes"", ""Checking / reading the ingredients in food / drink products"", ""Doing a cleanse"", ""Cooking more meals at home""]",Once a week,"[""Walking"", ""Running"", ""Aerobics""]","[""Take herbal supplements"", ""Have herbal tea"", ""Remove screens from bedrooms e.g. TV, cell phone""]","[""No, none of these""]"
1034,5234051628.0,Female,35-44,Low,"[""Children under 18 years old"", ""Partner / spouse""]",4,"[""Taking time to relax""]","[""Feeling good about myself"", ""To lose / manage my weight"", ""To set a good example for my family""]","[""Gluten / wheat free"", ""Halal""]","[""Cooking more meals at home""]",Few times a month,"[""Other""]","[""Have herbal tea""]","[""Watching TV""]"
1035,2726230104.0,Female,25-34,High,"[""Children under 18 years old"", ""Children over 18 years old"", ""Partner / spouse""]",5+,"[""Eat healthily"", ""Make sure I get enough sleep"", ""Take vitamin / other supplements""]","[""Prevent health conditions in later life"", ""To make the most out of/enjoy life"", ""To set a good example for my family""]","[""High protein"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Halal"", ""Vegan: eat no meat, fish, or dairy""]","[""Making an effort to find healthy recipes"", ""Cooking more meals at home"", ""Trying to have a variety of colors on my plate""]",3+ times a week,"[""Yoga/Pilates"", ""Hiking"", ""Running""]","[""Have a bath"", ""Have herbal tea"", ""Take sleeping tablets""]","[""Browsing on my cell phone / tablet"", ""Checking emails""]"
1044,315339210.0,Male,25-34,Medium,"[""Parents""]",4,"[""Drink lots of water / fluids"", ""Meditation / positive mindset methods"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Stress control methods"", ""Eat healthily"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""To make the most out of/enjoy life"", ""To lose / manage my weight"", ""To improve my sleep""]","[""Specific diet - specify"", ""Vegan: eat no meat, fish, or dairy"", ""Low salt"", ""Vegetarian: eat no meat or fish"", ""Low cholesterol"", ""High protein"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Gluten / wheat free"", ""Dairy free"", ""Low sugar""]","[""Checking / reading the ingredients in food / drink products"", ""Checking nutritional value of the food / drink I purchase"", ""Counting / tracking calories"", ""Shopping at places that have a wide selection of healthy options"", ""Eating out / ordering takeout less frequently""]",Few times a month,"[""Swimming"", ""Yoga/Pilates"", ""Walking"", ""Weights"", ""Running""]","[""Have a malted milk drink"", ""Meditate"", ""Have a bath""]","[""Heavy meal"", ""Watching TV"", ""Checking emails"", ""Browsing on my cell phone / tablet"", ""Alcohol""]"
1047,3433386231.0,Male,45+,High,"[""Children under 18 years old"", ""Children over 18 years old"", ""Partner / spouse""]",5+,"[""Taking time to relax"", ""Drink lots of water / fluids"", ""Take vitamin / other supplements""]","[""To support my family"", ""To improve brain function/ memory"", ""To set a good example for my family""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Eating dessert less often""]",Less often,,"[""No, none of these""]","[""Alcohol""]"
1058,2758015964.0,Male,45+,High,"[""Partner / spouse""]",2,"[""Take vitamin / other supplements""]","[""To make the most out of/enjoy life"", ""To lose / manage my weight"", ""Prevent health conditions in later life""]","[""Low sugar""]","[""Cooking more meals at home"", ""Filling half my plate with vegetables""]",Less often,,"[""Have herbal tea""]","[""Alcohol""]"
1059,25341840.0,Female,35-44,High,"[""Children over 18 years old""]",2,"[""Stay hydrated"", ""Make sure I get enough sleep"", ""Meditation / positive mindset methods""]","[""Have more energy"", ""To make the most of treats / indulgent moments"", ""To manage a health / medical condition""]","[""Halal"", ""Low sugar""]","[""Watching the size of my portions"", ""Eating dessert less often""]",Never,,"[""No, none of these""]","[""Heavy meal""]"
1062,6032744661.0,Male,18-24,Low,"[""Friends / Roommates""]",2,"[""Exercise regularly"", ""Take vitamin / other supplements""]","[""Feeling good about myself"", ""To lose / manage my weight"", ""To make the most of treats / indulgent moments""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low cholesterol"", ""Low sugar""]","[""Checking nutritional value of the food / drink I purchase"", ""Intermittent fasting"", ""Counting / tracking calories""]",Twice a week,"[""Cardio / Aerobics / Water aerobics"", ""Weights""]","[""No, none of these""]","[""No, none of these""]"
1067,3890755074.0,Female,25-34,High,"[""Other family members"", ""Parents""]",4,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Stress control methods"", ""Eat healthily"", ""Make sure I get enough sleep"", ""Taking time to relax""]","[""Feeling good about myself"", ""To lose / manage my weight"", ""To manage a health / medical condition""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Halal"", ""Organic""]","[""Cooking more meals at home"", ""Snacking less often"", ""Eating dessert less often"", ""Eating out / ordering takeout less frequently"", ""Intermittent fasting""]",Less often,,"[""Have a bath"", ""Have herbal tea""]","[""Caffeine"", ""Heavy meal""]"
1071,19011432.0,Female,25-34,Medium,"[""Children under 18 years old"", ""Partner / spouse""]",4,"[""Eat healthily""]","[""Feeling good about myself"", ""To make the most out of/enjoy life"", ""To make the most of treats / indulgent moments""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Making an effort to find healthy recipes"", ""Checking / reading the ingredients in food / drink products"", ""Cooking more meals at home""]",Less often,,"[""No, none of these""]","[""No, none of these""]"
1074,75760906.0,Female,45+,Medium,"[""Children under 18 years old"", ""Children over 18 years old"", ""Partner / spouse""]",5+,"[""Taking time to relax"", ""Make sure I get enough sleep""]","[""To lose / manage my weight"", ""To improve my sleep"", ""To set a good example for my family""]","[""Specific diet - specify"", ""Other""]","[""Cooking more meals at home"", ""Counting / tracking calories"", ""Watching the size of my portions""]",Once a week,"[""Swimming""]","[""No, none of these""]","[""Caffeine""]"
1078,938488980.0,Male,18-24,High,"[""Children under 18 years old"", ""Children over 18 years old"", ""Other family members"", ""Parents""]",5+,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Meditation / positive mindset methods"", ""Exercise regularly"", ""Stress control methods"", ""Eat healthily"", ""Make sure I get enough sleep"", ""Taking time to relax""]","[""To support my family"", ""To improve brain function/ memory"", ""Prevent health conditions in later life""]","[""Paleo""]","[""Eating out at places that have healthy options available"", ""Checking nutritional value of the food / drink I purchase"", ""Cooking more meals at home"", ""Eating dessert less often"", ""Filling half my plate with vegetables""]",3+ times a week,"[""Strength training"", ""Running"", ""Weights"", ""Swimming""]","[""Meditate"", ""Have warm milk""]","[""Caffeine"", ""Alcohol""]"
1079,6409672488.0,Female,25-34,High,"[""Friends / Roommates""]",4,"[""Taking time to relax"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids"", ""Take vitamin / other supplements""]","[""To support my family"", ""To make the most out of/enjoy life"", ""Prevent health conditions in later life""]","[""Paleo"", ""Specific diet""]","[""Making an effort to find healthy recipes"", ""Snacking less often"", ""Eating dessert less often"", ""Cooking more meals at home""]",3+ times a week,"[""Strength training"", ""Running"", ""Walking""]","[""Have warm milk""]","[""Heavy meal"", ""Watching TV"", ""Browsing on my cell phone / tablet"", ""Caffeine"", ""Alcohol""]"
1081,3797699480.0,Female,18-24,Medium,"[""Parents""]",5+,"[""Eat healthily"", ""Taking time to relax"", ""Stress control methods""]","[""To make the most of treats / indulgent moments"", ""Specific event (e.g. holiday, wedding)"", ""To set a good example for my family""]","[""Low sugar""]","[""Trying to have a variety of colors on my plate""]",Few times a month,"[""Yoga/Pilates""]","[""Have herbal tea""]","[""Browsing on my cell phone / tablet""]"
1084,2910729804.0,Male,25-34,High,"[""Children under 18 years old""]",5+,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Exercise regularly"", ""Eat healthily"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""To support my family"", ""Have more energy"", ""To lose / manage my weight""]","[""Low salt"", ""Halal"", ""Low calorie"", ""Low cholesterol"", ""High protein"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low sugar"", ""Low / zero carb""]","[""Counting / tracking calories""]",3+ times a week,"[""Circuit training/ HIIT"", ""Walking"", ""Weights"", ""Cardio / Aerobics / Water aerobics"", ""Running""]","[""No, none of these""]","[""No, none of these""]"
1090,801375669.0,Female,18-24,High,"[""Children under 18 years old"", ""Partner / spouse""]",4,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Meditation / positive mindset methods"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Stress control methods"", ""Other"", ""Eat healthily"", ""Make sure I get enough sleep"", ""Taking time to relax""]","[""Feeling good about myself"", ""To improve my sleep"", ""Prevent health conditions in later life""]","[""Low sugar"", ""Gluten / wheat free"", ""Low cholesterol"", ""Low salt""]","[""Making an effort to find healthy recipes"", ""Checking / reading the ingredients in food / drink products"", ""Eating out at places that have healthy options available"", ""Checking nutritional value of the food / drink I purchase"", ""Watching the size of my portions"", ""Doing a cleanse"", ""Cooking more meals at home"", ""Snacking less often"", ""Eating dessert less often"", ""Intermittent fasting"", ""Shopping at places that have a wide selection of healthy options"", ""Filling half my plate with vegetables"", ""Eating out / ordering takeout less frequently"", ""Trying to have a variety of colors on my plate""]",3+ times a week,"[""Cycling"", ""Yoga/Pilates"", ""Walking"", ""Aerobics"", ""Spinning"", ""Weights"", ""Cardio / Aerobics / Water aerobics""]","[""Have herbal tea"", ""Meditate"", ""Have a bath"", ""Take herbal supplements"", ""Take sleeping tablets""]","[""Caffeine"", ""Heavy meal"", ""Alcohol"", ""Checking emails""]"
1095,3602252890.0,Male,45+,High,"[""Children over 18 years old"", ""Partner / spouse""]",5+,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Exercise regularly"", ""Eat healthily"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""Feeling good about myself"", ""To lose / manage my weight"", ""To improve my sleep""]","[""Low sugar"", ""Low cholesterol"", ""Low salt""]","[""Making an effort to find healthy recipes""]",3+ times a week,"[""Yoga/Pilates"", ""Hiking"", ""Walking"", ""Aerobics""]","[""Have a bath"", ""Have herbal tea"", ""Have warm milk""]","[""Browsing on my cell phone / tablet"", ""Watching TV"", ""Checking emails""]"
1097,4532645743.0,Male,45+,Medium,"[""Partner / spouse""]",2,"[""Eat healthily""]","[""Prevent health conditions in later life"", ""To lose / manage my weight"", ""To set a good example for my family""]","[""Low calorie""]","[""Making an effort to find healthy recipes""]",3+ times a week,"[""Hiking""]","[""No, none of these""]","[""No, none of these""]"
1098,4351611825.0,Female,18-24,Medium,"[""Parents""]",5+,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Meditation / positive mindset methods"", ""Exercise regularly"", ""Stress control methods"", ""Eat healthily"", ""Make sure I get enough sleep"", ""Taking time to relax""]","[""To improve brain function/ memory"", ""To improve my sleep"", ""To manage a health / medical condition""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Cooking more meals at home""]",Few times a month,"[""Swimming""]","[""No, none of these""]","[""Watching TV""]"
1100,2959918698.0,Female,45+,High,"[""Parents""]",3,"[""Other""]","[""To make the most out of/enjoy life"", ""To manage a health / medical condition"", ""Prevent health conditions in later life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Checking nutritional value of the food / drink I purchase""]",3+ times a week,"[""Other"", ""Hiking"", ""Walking""]","[""Have herbal tea""]","[""Caffeine""]"
1101,3102081150.0,Female,18-24,Medium,"[""Friends / Roommates""]",2,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Meditation / positive mindset methods"", ""Take vitamin / other supplements"", ""Stress control methods"", ""Eat healthily"", ""Make sure I get enough sleep"", ""Taking time to relax""]","[""To make the most out of/enjoy life"", ""To lose / manage my weight"", ""To manage a health / medical condition""]","[""Low salt"", ""Halal"", ""Low calorie"", ""Low sugar"", ""Low / zero carb""]","[""Checking / reading the ingredients in food / drink products"", ""Eating out at places that have healthy options available"", ""Checking nutritional value of the food / drink I purchase"", ""Watching the size of my portions"", ""Counting / tracking calories"", ""Snacking less often"", ""Shopping at places that have a wide selection of healthy options"", ""Eating dessert less often"", ""Cooking more meals at home"", ""Filling half my plate with vegetables"", ""Eating out / ordering takeout less frequently""]",Few times a month,"[""Yoga/Pilates""]","[""No, none of these""]","[""Caffeine"", ""Heavy meal""]"
1102,4135143688.0,Male,35-44,Medium,"[""Other family members""]",5+,"[""Eat healthily"", ""Taking time to relax"", ""Drink lots of water / fluids"", ""Meditation / positive mindset methods""]","[""To improve brain function/ memory"", ""To set a good example for my family""]","[""None of the above""]","[""None of the above""]",Less often,,"[""Remove screens from bedrooms e.g. TV, cell phone""]","[""Browsing on my cell phone / tablet""]"
1107,1108069452.0,Male,25-34,Low,"[""Partner / spouse""]",2,"[""Exercise regularly""]","[""Feeling good about myself"", ""To manage a health / medical condition"", ""To live longer""]","[""Gluten / wheat free""]","[""Trying to have a variety of colors on my plate""]",Twice a week,"[""Walking""]","[""Remove screens from bedrooms e.g. TV, cell phone""]","[""Caffeine"", ""Watching TV""]"
1110,1015358736.0,Female,25-34,Low,"[""Children under 18 years old"", ""Partner / spouse""]",4,"[""Stay hydrated"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids"", ""Eat healthily""]","[""To live longer"", ""To manage a health / medical condition"", ""Prevent health conditions in later life""]","[""Low salt"", ""Low sugar""]","[""Watching the size of my portions"", ""Intermittent fasting""]",Less often,,"[""No, none of these""]","[""Caffeine"", ""Browsing on my cell phone / tablet"", ""Watching TV""]"
1113,8716149.0,Female,25-34,High,"[""Parents""]",3,"[""Stay hydrated"", ""Exercise regularly"", ""Eat healthily"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""Feeling good about myself"", ""To lose / manage my weight"", ""Prevent health conditions in later life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low salt""]","[""Watching the size of my portions"", ""Counting / tracking calories"", ""Cooking more meals at home""]",3+ times a week,"[""Hiking"", ""Running"", ""Walking"", ""Aerobics""]","[""Have herbal tea""]","[""Caffeine"", ""Heavy meal""]"
1116,1143097060.0,Male,35-44,High,"[""Children under 18 years old"", ""Partner / spouse""]",4,"[""Eat healthily"", ""Taking time to relax"", ""Exercise regularly""]","[""Feeling good about myself"", ""To support my family"", ""To lose / manage my weight""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Cooking more meals at home"", ""Making an effort to find healthy recipes""]",3+ times a week,"[""Walking"", ""Weights"", ""Cycling""]","[""No, none of these""]","[""Caffeine"", ""Heavy meal""]"
1118,3211280076.0,Male,25-34,Medium,"[""Partner / spouse""]",2,"[""Eat healthily"", ""Exercise regularly"", ""Stay hydrated"", ""Stress control methods""]","[""Feeling good about myself"", ""To make the most out of/enjoy life"", ""To manage a health / medical condition""]","[""Flexitarian: eat meat but control the amount eaten"", ""Low sugar""]","[""Making an effort to find healthy recipes"", ""Checking / reading the ingredients in food / drink products"", ""Eating out at places that have healthy options available"", ""Checking nutritional value of the food / drink I purchase"", ""Watching the size of my portions"", ""Snacking less often"", ""Cooking more meals at home"", ""Eating dessert less often""]",3+ times a week,"[""Running""]","[""Take sleeping tablets""]","[""Caffeine"", ""Alcohol"", ""Watching TV"", ""Browsing on my mobile  phone / tablet""]"
1124,1240805696.0,Female,18-24,Low,"[""Children under 18 years old"", ""Parents""]",4,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Meditation / positive mindset methods"", ""Stress control methods""]","[""Feeling good about myself"", ""To improve brain function/ memory"", ""To make the most out of/enjoy life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Making an effort to find healthy recipes"", ""Cooking more meals at home"", ""Eating dessert less often"", ""Counting / tracking calories""]",Few times a month,"[""Strength training"", ""Walking""]","[""Have a bath""]","[""Heavy meal""]"
1128,4468046022.0,Female,45+,High,"[""Children over 18 years old"", ""Partner / spouse""]",3,"[""Stay hydrated"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids"", ""Eat healthily""]","[""To manage a health / medical condition""]","[""Low sugar"", ""Dairy free"", ""Low cholesterol"", ""Low salt""]","[""None of the above""]",Never,,"[""No, none of these""]","[""Caffeine""]"
1132,899519555.0,Male,45+,Medium,"[""Partner / spouse""]",,"[""Nothing""]","[""To live longer"", ""Have more energy"", ""Prevent health conditions in later life""]","[""None of the above""]","[""Cooking more meals at home"", ""Snacking less often"", ""Eating out / ordering takeout less frequently"", ""Watching the size of my portions""]",Never,,"[""No, none of these""]","[""Caffeine"", ""Alcohol""]"
1133,729262528.0,Other,45+,High,"[""Children under 18 years old"", ""Children over 18 years old"", ""Partner / spouse""]",4,"[""Drink lots of water / fluids"", ""Meditation / positive mindset methods"", ""Stress control methods"", ""Eat healthily"", ""Taking time to relax""]","[""To live longer"", ""To make the most out of/enjoy life"", ""Prevent health conditions in later life""]","[""Flexitarian: eat meat but control the amount eaten"", ""Halal"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Checking / reading the ingredients in food / drink products"", ""Eating out at places that have healthy options available"", ""Checking nutritional value of the food / drink I purchase"", ""Doing a cleanse"", ""Shopping at places that have a wide selection of healthy options"", ""Eating out / ordering takeout less frequently""]",Once a week,"[""Hiking"", ""Walking""]","[""No, none of these""]","[""Heavy meal"", ""Alcohol""]"
1138,1620690456.0,Female,35-44,Medium,"[""Children over 18 years old"", ""Partner / spouse""]",4,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Eat healthily"", ""Make sure I get enough sleep""]","[""To make the most out of/enjoy life"", ""To lose / manage my weight"", ""Prevent health conditions in later life""]","[""Dairy free"", ""Low calorie"", ""Vegan: eat no meat, fish, or dairy""]","[""Making an effort to find healthy recipes"", ""Checking / reading the ingredients in food / drink products"", ""Eating out at places that have healthy options available"", ""Cooking more meals at home"", ""Eating out / ordering takeout less frequently""]",Twice a week,"[""Swimming"", ""Walking"", ""Spinning"", ""Weights"", ""Strength training""]","[""Have a bath""]","[""Caffeine"", ""Watching TV""]"
1140,2899550752.0,Male,18-24,Low,"[""Parents""]",5+,"[""Eat healthily""]","[""To manage a health / medical condition""]","[""Flexitarian: eat meat but control the amount eaten""]","[""Checking / reading the ingredients in food / drink products""]",3+ times a week,"[""Walking""]","[""Have warm milk""]","[""Watching TV""]"
1141,3280746200.0,Male,25-34,Medium,"[""Other family members"", ""Parents""]",5+,"[""Eat healthily"", ""Exercise regularly"", ""Take vitamin / other supplements""]","[""To lose / manage my weight"", ""To make the most of treats / indulgent moments"", ""Prevent health conditions in later life""]","[""Low calorie"", ""Low / zero carb"", ""Low salt"", ""Low sugar""]","[""Making an effort to find healthy recipes"", ""Checking nutritional value of the food / drink I purchase"", ""Snacking less often"", ""Cooking more meals at home"", ""Eating out / ordering takeout less frequently"", ""Trying to have a variety of colors on my plate""]",3+ times a week,"[""Hiking"", ""Walking"", ""Weights""]","[""No, none of these""]","[""No, none of these""]"
1149,25265327295.0,Female,35-44,Low,"[""I live alone""]",4,"[""Eat healthily"", ""Make sure I get enough sleep"", ""Meditation / positive mindset methods""]","[""Prevent health conditions in later life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Making an effort to find healthy recipes""]",3+ times a week,"[""Yoga/Pilates"", ""Walking""]","[""Other""]","[""Caffeine"", ""Browsing on my cell phone / tablet"", ""Alcohol"", ""Watching TV""]"
1150,2888386424.0,Male,45+,Low,"[""Children under 18 years old"", ""Partner / spouse""]",5+,"[""Make sure I get enough sleep"", ""Drink lots of water / fluids""]","[""Feeling good about myself"", ""To make the most of treats / indulgent moments""]","[""Other""]","[""Cooking more meals at home"", ""Eating dessert less often"", ""Trying to have a variety of colors on my plate"", ""Filling half my plate with vegetables""]",Once a week,"[""Other""]","[""No, none of these""]","[""Heavy meal"", ""Alcohol""]"
1151,7412586990.0,Female,18-24,Low,"[""Children under 18 years old"", ""Partner / spouse""]",4,"[""Eat healthily""]","[""Feeling good about myself"", ""To lose / manage my weight"", ""Specific event (e.g. holiday, wedding)""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Counting / tracking calories""]",Twice a week,"[""Cardio / Aerobics / Water aerobics""]","[""No, none of these""]","[""No, none of these""]"
1152,6355827864.0,Female,25-34,Medium,"[""Other family members""]",3,"[""Exercise regularly""]","[""To live longer"", ""Have more energy"", ""To lose / manage my weight""]","[""Flexitarian: eat meat but control the amount eaten""]","[""Shopping at places that have a wide selection of healthy options""]",3+ times a week,"[""Cardio / Aerobics / Water aerobics"", ""Walking""]","[""Have warm milk""]","[""Caffeine""]"
1153,1895228802.0,Female,18-24,Medium,"[""Partner / spouse""]",2,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Exercise regularly"", ""Eat healthily"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""Feeling good about myself"", ""To lose / manage my weight"", ""To manage a health / medical condition""]","[""Flexitarian: eat meat but control the amount eaten""]","[""Making an effort to find healthy recipes"", ""Watching the size of my portions"", ""Snacking less often"", ""Cooking more meals at home"", ""Eating dessert less often"", ""Eating out / ordering takeout less frequently""]",3+ times a week,"[""Cardio / Aerobics / Water aerobics""]","[""No, none of these""]","[""Caffeine""]"
1155,7631136051.0,Female,45+,Low,"[""Parents""]",3,"[""Meditation / positive mindset methods""]","[""Feeling good about myself"", ""To make the most out of/enjoy life"", ""To live longer""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Cooking more meals at home""]",Less often,,"[""Meditate""]","[""Caffeine""]"
1164,2906552095.0,Male,35-44,High,"[""I live alone""]",1,"[""Exercise regularly""]","[""To live longer"", ""To improve my sleep"", ""To manage a health / medical condition""]","[""Pescatarian: eat no meat"", ""Vegan: eat no meat, fish, or dairy"", ""Low salt""]","[""Checking / reading the ingredients in food / drink products""]",Twice a week,"[""Running""]","[""Remove screens from bedrooms e.g. TV, cell phone""]","[""Browsing on my mobile  phone / tablet""]"
1165,2819244997.0,Male,25-34,High,"[""Partner / spouse""]",2,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Meditation / positive mindset methods"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Eat healthily"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""To lose / manage my weight"", ""To make the most of treats / indulgent moments"", ""Prevent health conditions in later life""]","[""High protein"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Trying to have a variety of colors on my plate"", ""Filling half my plate with vegetables""]",Twice a week,"[""Cardio / Aerobics / Water aerobics"", ""Hiking"", ""Walking""]","[""Have a bath"", ""Have herbal tea"", ""Have warm milk""]","[""No, none of these""]"
1168,3314115264.0,Male,35-44,High,"[""Partner / spouse""]",4,"[""Nothing""]","[""To live longer""]","[""None of the above""]","[""None of the above""]",Never,,"[""Have a bath""]","[""No, none of these""]"
